w0 [um], z0 [um] | pump FWHM [um] | probe FWHM [um] | error [um]
1.900, 15.0 | 1.300 | 0.702 | 0.648
1.900, 16.0 | 1.298 | 0.699 | 0.649
1.900, 17.0 | 1.296 | 0.696 | 0.650
1.900, 18.0 | 1.295 | 0.693 | 0.652
1.900, 19.0 | 1.294 | 0.690 | 0.654
1.900, 20.0 | 1.294 | 0.688 | 0.656
2.000, 0.0 | 1.435 | 0.712 | 0.773
2.000, 1.0 | 1.428 | 0.712 | 0.767
2.000, 2.0 | 1.422 | 0.711 | 0.761
2.000, 3.0 | 1.415 | 0.710 | 0.756
2.000, 4.0 | 1.409 | 0.709 | 0.751
2.000, 5.0 | 1.404 | 0.708 | 0.746
2.000, 6.0 | 1.399 | 0.706 | 0.742
2.000, 7.0 | 1.394 | 0.705 | 0.739
2.000, 8.0 | 1.389 | 0.703 | 0.736
2.000, 9.0 | 1.385 | 0.701 | 0.733
2.000, 10.0 | 1.381 | 0.700 | 0.731
2.000, 11.0 | 1.377 | 0.698 | 0.729
2.000, 12.0 | 1.374 | 0.696 | 0.728
2.000, 13.0 | 1.371 | 0.694 | 0.727
2.000, 14.0 | 1.369 | 0.692 | 0.727
2.000, 15.0 | 1.367 | 0.690 | 0.727
2.000, 16.0 | 1.365 | 0.688 | 0.727
2.000, 17.0 | 1.364 | 0.686 | 0.728
2.000, 18.0 | 1.363 | 0.684 | 0.729
2.000, 19.0 | 1.362 | 0.682 | 0.731
2.000, 20.0 | 1.362 | 0.680 | 0.733
2.100, 0.0 | 1.494 | 0.670 | 0.873
2.100, 1.0 | 1.488 | 0.672 | 0.866
2.100, 2.0 | 1.482 | 0.673 | 0.859
2.100, 3.0 | 1.476 | 0.674 | 0.853
2.100, 4.0 | 1.471 | 0.674 | 0.847
2.100, 5.0 | 1.466 | 0.674 | 0.842
2.100, 6.0 | 1.462 | 0.674 | 0.838
2.100, 7.0 | 1.458 | 0.673 | 0.834
2.100, 8.0 | 1.454 | 0.672 | 0.831
2.100, 9.0 | 1.450 | 0.671 | 0.829
2.100, 10.0 | 1.446 | 0.670 | 0.827
2.100, 11.0 | 1.443 | 0.668 | 0.825
2.100, 12.0 | 1.441 | 0.666 | 0.825
2.100, 13.0 | 1.438 | 0.664 | 0.824
2.100, 14.0 | 1.436 | 0.661 | 0.825
2.100, 15.0 | 1.434 | 0.658 | 0.826
2.100, 16.0 | 1.433 | 0.655 | 0.828
2.100, 17.0 | 1.432 | 0.852 | 0.630
2.100, 18.0 | 1.431 | 0.844 | 0.637
2.100, 19.0 | 1.430 | 0.837 | 0.644
2.100, 20.0 | 1.430 | 0.830 | 0.651
2.200, 0.0 | 1.554 | 0.797 | 0.807
2.200, 1.0 | 1.549 | 0.798 | 0.801
2.200, 2.0 | 1.544 | 0.798 | 0.795
