w0 [um], z0 [um] | pump FWHM [um] | probe FWHM [um] | error [um]
3.730, 8.0 | 2.545 | 1.018 | 0.517
3.730, 9.0 | 2.544 | 1.018 | 0.516
3.730, 10.0 | 2.543 | 1.018 | 0.516
3.730, 11.0 | 2.543 | 1.018 | 0.515
3.730, 12.0 | 2.542 | 1.018 | 0.514
3.730, 13.0 | 2.542 | 1.018 | 0.514
3.730, 14.0 | 2.542 | 1.018 | 0.513
3.730, 15.0 | 2.541 | 1.019 | 0.513
3.730, 16.0 | 2.541 | 1.019 | 0.512
3.730, 17.0 | 2.541 | 1.019 | 0.512
3.730, 18.0 | 2.541 | 1.019 | 0.511
3.730, 19.0 | 2.541 | 1.020 | 0.511
3.730, 20.0 | 2.541 | 1.020 | 0.510
3.740, 0.0 | 2.559 | 1.022 | 0.527
3.740, 1.0 | 2.558 | 1.022 | 0.526
3.740, 2.0 | 2.557 | 1.022 | 0.525
3.740, 3.0 | 2.556 | 1.022 | 0.524
3.740, 4.0 | 2.555 | 1.022 | 0.523
3.740, 5.0 | 2.554 | 1.022 | 0.522
3.740, 6.0 | 2.553 | 1.021 | 0.522
3.740, 7.0 | 2.552 | 1.021 | 0.521
3.740, 8.0 | 2.551 | 1.021 | 0.520
3.740, 9.0 | 2.551 | 1.021 | 0.519
3.740, 10.0 | 2.550 | 1.022 | 0.519
3.740, 11.0 | 2.550 | 1.022 | 0.518
3.740, 12.0 | 2.549 | 1.022 | 0.517
3.740, 13.0 | 2.549 | 1.022 | 0.517
3.740, 14.0 | 2.548 | 1.022 | 0.516
3.740, 15.0 | 2.548 | 1.022 | 0.516
3.740, 16.0 | 2.548 | 1.023 | 0.515
3.740, 17.0 | 2.548 | 1.023 | 0.515
3.740, 18.0 | 2.547 | 1.023 | 0.514
3.740, 19.0 | 2.547 | 1.024 | 0.514
3.740, 20.0 | 2.547 | 1.024 | 0.513
3.750, 0.0 | 2.566 | 1.026 | 0.529
3.750, 1.0 | 2.564 | 1.026 | 0.529
3.750, 2.0 | 2.563 | 1.026 | 0.528
3.750, 3.0 | 2.562 | 1.026 | 0.527
3.750, 4.0 | 2.561 | 1.025 | 0.526
3.750, 5.0 | 2.561 | 1.025 | 0.525
3.750, 6.0 | 2.560 | 1.025 | 0.524
3.750, 7.0 | 2.559 | 1.025 | 0.524
3.750, 8.0 | 2.558 | 1.025 | 0.523
3.750, 9.0 | 2.558 | 1.025 | 0.522
3.750, 10.0 | 2.557 | 1.025 | 0.522
3.750, 11.0 | 2.556 | 1.026 | 0.521
3.750, 12.0 | 2.556 | 1.026 | 0.520
3.750, 13.0 | 2.556 | 1.026 | 0.520
3.750, 14.0 | 2.555 | 1.026 | 0.519
3.750, 15.0 | 2.555 | 1.026 | 0.519
3.750, 16.0 | 2.555 | 1.027 | 0.518
3.750, 17.0 | 2.554 | 1.027 | 0.518
3.750, 18.0 | 2.554 | 1.027 | 0.517
3.750, 19.0 | 2.554 | 1.028 | 0.517
3.750, 20.0 | 2.554 | 1.028 | 0.516
3.760, 0.0 | 2.572 | 1.030 | 0.532
3.760, 1.0 | 2.571 | 1.030 | 0.531
3.760, 2.0 | 2.570 | 1.030 | 0.530
3.760, 3.0 | 2.569 | 1.030 | 0.530
3.760, 4.0 | 2.568 | 1.029 | 0.529
3.760, 5.0 | 2.567 | 1.029 | 0.528
3.760, 6.0 | 2.567 | 1.029 | 0.527
3.760, 7.0 | 2.566 | 1.029 | 0.527
3.760, 8.0 | 2.565 | 1.029 | 0.526
3.760, 9.0 | 2.564 | 1.029 | 0.525
3.760, 10.0 | 2.564 | 1.029 | 0.524
3.760, 11.0 | 2.563 | 1.029 | 0.524
3.760, 12.0 | 2.563 | 1.030 | 0.523
3.760, 13.0 | 2.562 | 1.030 | 0.523
3.760, 14.0 | 2.562 | 1.030 | 0.522
3.760, 15.0 | 2.562 | 1.030 | 0.521
3.760, 16.0 | 2.561 | 1.031 | 0.521
3.760, 17.0 | 2.561 | 1.031 | 0.520
3.760, 18.0 | 2.561 | 1.031 | 0.520
3.760, 19.0 | 2.561 | 1.032 | 0.519
3.760, 20.0 | 2.561 | 1.032 | 0.519
3.770, 0.0 | 2.579 | 1.034 | 0.535
3.770, 1.0 | 2.578 | 1.034 | 0.534
3.770, 2.0 | 2.577 | 1.034 | 0.533
3.770, 3.0 | 2.576 | 1.033 | 0.532
3.770, 4.0 | 2.575 | 1.033 | 0.532
3.770, 5.0 | 2.574 | 1.033 | 0.531
3.770, 6.0 | 2.573 | 1.033 | 0.530
3.770, 7.0 | 2.573 | 1.033 | 0.529
3.770, 8.0 | 2.572 | 1.033 | 0.529
3.770, 9.0 | 2.571 | 1.033 | 0.528
3.770, 10.0 | 2.571 | 1.033 | 0.527
3.770, 11.0 | 2.570 | 1.033 | 0.527
3.770, 12.0 | 2.570 | 1.034 | 0.526
3.770, 13.0 | 2.569 | 1.034 | 0.525
3.770, 14.0 | 2.569 | 1.034 | 0.525
3.770, 15.0 | 2.569 | 1.034 | 0.524
3.770, 16.0 | 2.568 | 1.034 | 0.524
3.770, 17.0 | 2.568 | 1.035 | 0.523
3.770, 18.0 | 2.568 | 1.035 | 0.523
3.770, 19.0 | 2.568 | 1.035 | 0.522
3.770, 20.0 | 2.568 | 1.036 | 0.522
3.780, 0.0 | 2.586 | 1.038 | 0.538
3.780, 1.0 | 2.585 | 1.038 | 0.537
3.780, 2.0 | 2.584 | 1.038 | 0.536
3.780, 3.0 | 2.583 | 1.037 | 0.535
3.780, 4.0 | 2.582 | 1.037 | 0.534
3.780, 5.0 | 2.581 | 1.037 | 0.534
3.780, 6.0 | 2.580 | 1.037 | 0.533
3.780, 7.0 | 2.579 | 1.037 | 0.532
3.780, 8.0 | 2.579 | 1.037 | 0.531
3.780, 9.0 | 2.578 | 1.037 | 0.531
3.780, 10.0 | 2.577 | 1.037 | 0.530
3.780, 11.0 | 2.577 | 1.037 | 0.529
3.780, 12.0 | 2.576 | 1.038 | 0.529
3.780, 13.0 | 2.576 | 1.038 | 0.528
3.780, 14.0 | 2.576 | 1.038 | 0.528
3.780, 15.0 | 2.575 | 1.038 | 0.527
3.780, 16.0 | 2.575 | 1.038 | 0.527
3.780, 17.0 | 2.575 | 1.039 | 0.526
3.780, 18.0 | 2.575 | 1.039 | 0.526
3.780, 19.0 | 2.575 | 1.039 | 0.525
3.780, 20.0 | 2.575 | 1.040 | 0.525
3.790, 0.0 | 2.592 | 1.042 | 0.540
3.790, 1.0 | 2.591 | 1.042 | 0.540
3.790, 2.0 | 2.590 | 1.042 | 0.539
3.790, 3.0 | 2.589 | 1.041 | 0.538
3.790, 4.0 | 2.588 | 1.041 | 0.537
3.790, 5.0 | 2.588 | 1.041 | 0.536
3.790, 6.0 | 2.587 | 1.041 | 0.536
3.790, 7.0 | 2.586 | 1.041 | 0.535
3.790, 8.0 | 2.585 | 1.041 | 0.534
3.790, 9.0 | 2.585 | 1.041 | 0.534
3.790, 10.0 | 2.584 | 1.041 | 0.533
3.790, 11.0 | 2.584 | 1.041 | 0.532
3.790, 12.0 | 2.583 | 1.042 | 0.532
3.790, 13.0 | 2.583 | 1.042 | 0.531
3.790, 14.0 | 2.582 | 1.042 | 0.530
3.790, 15.0 | 2.582 | 1.042 | 0.530
3.790, 16.0 | 2.582 | 1.043 | 0.529
3.790, 17.0 | 2.582 | 1.043 | 0.529
3.790, 18.0 | 2.582 | 1.043 | 0.528
3.790, 19.0 | 2.581 | 1.044 | 0.528
3.790, 20.0 | 2.581 | 1.044 | 0.527
3.800, 0.0 | 2.599 | 1.046 | 0.543
3.800, 1.0 | 2.598 | 1.046 | 0.542
3.800, 2.0 | 2.597 | 1.046 | 0.541
3.800, 3.0 | 2.596 | 1.046 | 0.541
3.800, 4.0 | 2.595 | 1.045 | 0.540
3.800, 5.0 | 2.594 | 1.045 | 0.539
3.800, 6.0 | 2.594 | 1.045 | 0.538
3.800, 7.0 | 2.593 | 1.045 | 0.538
3.800, 8.0 | 2.592 | 1.045 | 0.537
3.800, 9.0 | 2.592 | 1.045 | 0.536
3.800, 10.0 | 2.591 | 1.045 | 0.536
3.800, 11.0 | 2.590 | 1.046 | 0.535
3.800, 12.0 | 2.590 | 1.046 | 0.534
3.800, 13.0 | 2.590 | 1.046 | 0.534
3.800, 14.0 | 2.589 | 1.046 | 0.533
3.800, 15.0 | 2.589 | 1.046 | 0.533
3.800, 16.0 | 2.589 | 1.047 | 0.532
3.800, 17.0 | 2.588 | 1.047 | 0.532
3.800, 18.0 | 2.588 | 1.047 | 0.531
3.800, 19.0 | 2.588 | 1.048 | 0.531
3.800, 20.0 | 2.588 | 1.048 | 0.530
3.810, 0.0 | 2.606 | 1.050 | 0.546
3.810, 1.0 | 2.605 | 1.050 | 0.545
3.810, 2.0 | 2.604 | 1.050 | 0.544
3.810, 3.0 | 2.603 | 1.050 | 0.543
3.810, 4.0 | 2.602 | 1.050 | 0.542
3.810, 5.0 | 2.601 | 1.049 | 0.542
3.810, 6.0 | 2.600 | 1.049 | 0.541
3.810, 7.0 | 2.600 | 1.049 | 0.540
3.810, 8.0 | 2.599 | 1.049 | 0.540
3.810, 9.0 | 2.598 | 1.049 | 0.539
3.810, 10.0 | 2.598 | 1.050 | 0.538
3.810, 11.0 | 2.597 | 1.050 | 0.538
3.810, 12.0 | 2.597 | 1.050 | 0.537
3.810, 13.0 | 2.596 | 1.050 | 0.536
3.810, 14.0 | 2.596 | 1.050 | 0.536
3.810, 15.0 | 2.596 | 1.050 | 0.535
3.810, 16.0 | 2.595 | 1.051 | 0.535
3.810, 17.0 | 2.595 | 1.051 | 0.534
3.810, 18.0 | 2.595 | 1.051 | 0.534
3.810, 19.0 | 2.595 | 1.052 | 0.533
3.810, 20.0 | 2.595 | 1.052 | 0.533
3.820, 0.0 | 2.613 | 1.054 | 0.548
3.820, 1.0 | 2.612 | 1.054 | 0.547
3.820, 2.0 | 2.611 | 1.054 | 0.547
3.820, 3.0 | 2.610 | 1.054 | 0.546
3.820, 4.0 | 2.609 | 1.054 | 0.545
3.820, 5.0 | 2.608 | 1.054 | 0.544
3.820, 6.0 | 2.607 | 1.054 | 0.544
3.820, 7.0 | 2.606 | 1.054 | 0.543
3.820, 8.0 | 2.606 | 1.054 | 0.542
3.820, 9.0 | 2.605 | 1.054 | 0.542
3.820, 10.0 | 2.605 | 1.054 | 0.541
3.820, 11.0 | 2.604 | 1.054 | 0.540
3.820, 12.0 | 2.604 | 1.054 | 0.540
3.820, 13.0 | 2.603 | 1.054 | 0.539
3.820, 14.0 | 2.603 | 1.054 | 0.538
3.820, 15.0 | 2.603 | 1.055 | 0.538
3.820, 16.0 | 2.602 | 1.055 | 0.537
3.820, 17.0 | 2.602 | 1.055 | 0.537
3.820, 18.0 | 2.602 | 1.056 | 0.536
3.820, 19.0 | 2.602 | 1.056 | 0.536
3.820, 20.0 | 2.602 | 1.056 | 0.536
3.830, 0.0 | 2.619 | 1.059 | 0.551
3.830, 1.0 | 2.618 | 1.058 | 0.550
3.830, 2.0 | 2.617 | 1.058 | 0.549
3.830, 3.0 | 2.616 | 1.058 | 0.548
3.830, 4.0 | 2.616 | 1.058 | 0.548
3.830, 5.0 | 2.615 | 1.058 | 0.547
3.830, 6.0 | 2.614 | 1.058 | 0.546
3.830, 7.0 | 2.613 | 1.058 | 0.545
3.830, 8.0 | 2.613 | 1.058 | 0.545
3.830, 9.0 | 2.612 | 1.058 | 0.544
3.830, 10.0 | 2.611 | 1.058 | 0.543
3.830, 11.0 | 2.611 | 1.058 | 0.543
3.830, 12.0 | 2.610 | 1.058 | 0.542
3.830, 13.0 | 2.610 | 1.058 | 0.542
3.830, 14.0 | 2.610 | 1.059 | 0.541
3.830, 15.0 | 2.609 | 1.059 | 0.541
3.830, 16.0 | 2.609 | 1.059 | 0.540
3.830, 17.0 | 2.609 | 1.059 | 0.539
3.830, 18.0 | 2.609 | 1.060 | 0.539
3.830, 19.0 | 2.609 | 1.060 | 0.539
3.830, 20.0 | 2.609 | 1.061 | 0.538
3.840, 0.0 | 2.626 | 1.063 | 0.553
3.840, 1.0 | 2.625 | 1.062 | 0.553
3.840, 2.0 | 2.624 | 1.062 | 0.552
3.840, 3.0 | 2.623 | 1.062 | 0.551
3.840, 4.0 | 2.622 | 1.062 | 0.550
3.840, 5.0 | 2.621 | 1.062 | 0.549
3.840, 6.0 | 2.621 | 1.062 | 0.549
3.840, 7.0 | 2.620 | 1.062 | 0.548
3.840, 8.0 | 2.619 | 1.062 | 0.547
3.840, 9.0 | 2.619 | 1.062 | 0.547
3.840, 10.0 | 2.618 | 1.062 | 0.546
3.840, 11.0 | 2.618 | 1.062 | 0.545
3.840, 12.0 | 2.617 | 1.062 | 0.545
3.840, 13.0 | 2.617 | 1.063 | 0.544
3.840, 14.0 | 2.616 | 1.063 | 0.544
3.840, 15.0 | 2.616 | 1.063 | 0.543
3.840, 16.0 | 2.616 | 1.063 | 0.543
3.840, 17.0 | 2.616 | 1.064 | 0.542
3.840, 18.0 | 2.616 | 1.064 | 0.542
3.840, 19.0 | 2.616 | 1.064 | 0.541
3.840, 20.0 | 2.615 | 1.065 | 0.541
3.850, 0.0 | 2.633 | 1.067 | 0.556
3.850, 1.0 | 2.632 | 1.067 | 0.555
3.850, 2.0 | 2.631 | 1.067 | 0.554
3.850, 3.0 | 2.630 | 1.066 | 0.553
3.850, 4.0 | 2.629 | 1.066 | 0.553
3.850, 5.0 | 2.628 | 1.066 | 0.552
3.850, 6.0 | 2.627 | 1.066 | 0.551
3.850, 7.0 | 2.627 | 1.066 | 0.551
3.850, 8.0 | 2.626 | 1.066 | 0.550
3.850, 9.0 | 2.625 | 1.066 | 0.549
3.850, 10.0 | 2.625 | 1.066 | 0.549
3.850, 11.0 | 2.624 | 1.066 | 0.548
3.850, 12.0 | 2.624 | 1.067 | 0.547
3.850, 13.0 | 2.624 | 1.067 | 0.547
3.850, 14.0 | 2.623 | 1.067 | 0.546
3.850, 15.0 | 2.623 | 1.067 | 0.546
3.850, 16.0 | 2.623 | 1.068 | 0.545
3.850, 17.0 | 2.623 | 1.068 | 0.545
3.850, 18.0 | 2.622 | 1.068 | 0.544
3.850, 19.0 | 2.622 | 1.069 | 0.544
3.850, 20.0 | 2.622 | 1.069 | 0.543
3.860, 0.0 | 2.640 | 1.071 | 0.558
3.860, 1.0 | 2.639 | 1.071 | 0.558
3.860, 2.0 | 2.638 | 1.071 | 0.557
3.860, 3.0 | 2.637 | 1.071 | 0.556
3.860, 4.0 | 2.636 | 1.071 | 0.555
3.860, 5.0 | 2.635 | 1.070 | 0.555
3.860, 6.0 | 2.634 | 1.070 | 0.554
3.860, 7.0 | 2.634 | 1.070 | 0.553
3.860, 8.0 | 2.633 | 1.070 | 0.552
3.860, 9.0 | 2.632 | 1.070 | 0.552
3.860, 10.0 | 2.632 | 1.071 | 0.551
3.860, 11.0 | 2.631 | 1.071 | 0.551
3.860, 12.0 | 2.631 | 1.071 | 0.550
3.860, 13.0 | 2.630 | 1.071 | 0.549
3.860, 14.0 | 2.630 | 1.071 | 0.549
3.860, 15.0 | 2.630 | 1.072 | 0.548
3.860, 16.0 | 2.629 | 1.072 | 0.548
3.860, 17.0 | 2.629 | 1.072 | 0.547
3.860, 18.0 | 2.629 | 1.072 | 0.547
3.860, 19.0 | 2.629 | 1.073 | 0.546
3.860, 20.0 | 2.629 | 1.073 | 0.546
3.870, 0.0 | 2.646 | 1.075 | 0.561
3.870, 1.0 | 2.645 | 1.075 | 0.560
3.870, 2.0 | 2.644 | 1.075 | 0.559
3.870, 3.0 | 2.643 | 1.075 | 0.558
3.870, 4.0 | 2.643 | 1.075 | 0.558
3.870, 5.0 | 2.642 | 1.075 | 0.557
3.870, 6.0 | 2.641 | 1.075 | 0.556
3.870, 7.0 | 2.640 | 1.075 | 0.556
3.870, 8.0 | 2.640 | 1.075 | 0.555
3.870, 9.0 | 2.639 | 1.075 | 0.554
3.870, 10.0 | 2.639 | 1.075 | 0.554
3.870, 11.0 | 2.638 | 1.075 | 0.553
3.870, 12.0 | 2.638 | 1.075 | 0.552
3.870, 13.0 | 2.637 | 1.075 | 0.552
3.870, 14.0 | 2.637 | 1.076 | 0.551
3.870, 15.0 | 2.637 | 1.076 | 0.551
3.870, 16.0 | 2.636 | 1.076 | 0.550
3.870, 17.0 | 2.636 | 1.076 | 0.550
3.870, 18.0 | 2.636 | 1.077 | 0.549
3.870, 19.0 | 2.636 | 1.077 | 0.549
3.870, 20.0 | 2.636 | 1.078 | 0.548
3.880, 0.0 | 2.653 | 1.080 | 0.563
3.880, 1.0 | 2.652 | 1.080 | 0.562
3.880, 2.0 | 2.651 | 1.079 | 0.562
3.880, 3.0 | 2.650 | 1.079 | 0.561
3.880, 4.0 | 2.649 | 1.079 | 0.560
3.880, 5.0 | 2.648 | 1.079 | 0.559
3.880, 6.0 | 2.648 | 1.079 | 0.559
3.880, 7.0 | 2.647 | 1.079 | 0.558
3.880, 8.0 | 2.646 | 1.079 | 0.557
3.880, 9.0 | 2.646 | 1.079 | 0.557
3.880, 10.0 | 2.645 | 1.079 | 0.556
3.880, 11.0 | 2.645 | 1.079 | 0.556
3.880, 12.0 | 2.644 | 1.079 | 0.555
3.880, 13.0 | 2.644 | 1.080 | 0.554
3.880, 14.0 | 2.644 | 1.080 | 0.554
3.880, 15.0 | 2.643 | 1.080 | 0.553
3.880, 16.0 | 2.643 | 1.080 | 0.553
3.880, 17.0 | 2.643 | 1.081 | 0.552
3.880, 18.0 | 2.643 | 1.081 | 0.552
3.880, 19.0 | 2.643 | 1.081 | 0.551
3.880, 20.0 | 2.643 | 1.082 | 0.551
3.890, 0.0 | 2.660 | 1.084 | 0.566
3.890, 1.0 | 2.659 | 1.084 | 0.565
3.890, 2.0 | 2.658 | 1.084 | 0.564
3.890, 3.0 | 2.657 | 1.084 | 0.563
3.890, 4.0 | 2.656 | 1.084 | 0.563
3.890, 5.0 | 2.655 | 1.083 | 0.562
3.890, 6.0 | 2.655 | 1.083 | 0.561
3.890, 7.0 | 2.654 | 1.083 | 0.560
3.890, 8.0 | 2.653 | 1.083 | 0.560
3.890, 9.0 | 2.653 | 1.083 | 0.559
3.890, 10.0 | 2.652 | 1.084 | 0.559
3.890, 11.0 | 2.652 | 1.084 | 0.558
3.890, 12.0 | 2.651 | 1.084 | 0.557
3.890, 13.0 | 2.651 | 1.084 | 0.557
3.890, 14.0 | 2.650 | 1.084 | 0.556
3.890, 15.0 | 2.650 | 1.085 | 0.556
3.890, 16.0 | 2.650 | 1.085 | 0.555
3.890, 17.0 | 2.650 | 1.085 | 0.555
3.890, 18.0 | 2.650 | 1.086 | 0.554
3.890, 19.0 | 2.650 | 1.086 | 0.554
3.890, 20.0 | 2.650 | 1.086 | 0.553
3.900, 0.0 | 2.666 | 1.089 | 0.568
3.900, 1.0 | 2.665 | 1.088 | 0.567
3.900, 2.0 | 2.665 | 1.088 | 0.566
3.900, 3.0 | 2.664 | 1.088 | 0.566
3.900, 4.0 | 2.663 | 1.088 | 0.565
3.900, 5.0 | 2.662 | 1.088 | 0.564
3.900, 6.0 | 2.661 | 1.088 | 0.563
3.900, 7.0 | 2.661 | 1.088 | 0.563
3.900, 8.0 | 2.660 | 1.088 | 0.562
3.900, 9.0 | 2.659 | 1.088 | 0.562
3.900, 10.0 | 2.659 | 1.088 | 0.561
3.900, 11.0 | 2.658 | 1.088 | 0.560
3.900, 12.0 | 2.658 | 1.088 | 0.560
3.900, 13.0 | 2.658 | 1.088 | 0.559
3.900, 14.0 | 2.657 | 1.089 | 0.559
3.900, 15.0 | 2.657 | 1.089 | 0.558
3.900, 16.0 | 2.657 | 1.089 | 0.558
3.900, 17.0 | 2.657 | 1.090 | 0.557
3.900, 18.0 | 2.656 | 1.090 | 0.557
3.900, 19.0 | 2.656 | 1.090 | 0.556
3.900, 20.0 | 2.656 | 1.091 | 0.556
3.910, 0.0 | 2.673 | 1.093 | 0.570
3.910, 1.0 | 2.672 | 1.093 | 0.569
3.910, 2.0 | 2.671 | 1.093 | 0.569
3.910, 3.0 | 2.670 | 1.093 | 0.568
3.910, 4.0 | 2.670 | 1.092 | 0.567
3.910, 5.0 | 2.669 | 1.092 | 0.566
3.910, 6.0 | 2.668 | 1.092 | 0.566
3.910, 7.0 | 2.667 | 1.092 | 0.565
3.910, 8.0 | 2.667 | 1.092 | 0.564
3.910, 9.0 | 2.666 | 1.092 | 0.564
3.910, 10.0 | 2.666 | 1.092 | 0.563
3.910, 11.0 | 2.665 | 1.093 | 0.563
3.910, 12.0 | 2.665 | 1.093 | 0.562
3.910, 13.0 | 2.664 | 1.093 | 0.561
3.910, 14.0 | 2.664 | 1.093 | 0.561
3.910, 15.0 | 2.664 | 1.093 | 0.560
3.910, 16.0 | 2.664 | 1.094 | 0.560
3.910, 17.0 | 2.663 | 1.094 | 0.559
3.910, 18.0 | 2.663 | 1.094 | 0.559
3.910, 19.0 | 2.663 | 1.095 | 0.558
3.910, 20.0 | 2.663 | 1.095 | 0.558
3.920, 0.0 | 2.680 | 1.097 | 0.572
3.920, 1.0 | 2.679 | 1.097 | 0.572
3.920, 2.0 | 2.678 | 1.097 | 0.571
3.920, 3.0 | 2.677 | 1.097 | 0.570
3.920, 4.0 | 2.676 | 1.097 | 0.569
3.920, 5.0 | 2.676 | 1.097 | 0.569
3.920, 6.0 | 2.675 | 1.097 | 0.568
3.920, 7.0 | 2.674 | 1.097 | 0.567
3.920, 8.0 | 2.674 | 1.097 | 0.567
3.920, 9.0 | 2.673 | 1.097 | 0.566
3.920, 10.0 | 2.672 | 1.097 | 0.566
3.920, 11.0 | 2.672 | 1.097 | 0.565
3.920, 12.0 | 2.672 | 1.097 | 0.564
3.920, 13.0 | 2.671 | 1.097 | 0.564
3.920, 14.0 | 2.671 | 1.098 | 0.563
3.920, 15.0 | 2.671 | 1.098 | 0.563
3.920, 16.0 | 2.670 | 1.098 | 0.562
3.920, 17.0 | 2.670 | 1.099 | 0.562
3.920, 18.0 | 2.670 | 1.099 | 0.561
3.920, 19.0 | 2.670 | 1.099 | 0.561
3.920, 20.0 | 2.670 | 1.100 | 0.560
3.930, 0.0 | 2.687 | 1.102 | 0.575
3.930, 1.0 | 2.686 | 1.102 | 0.574
3.930, 2.0 | 2.685 | 1.102 | 0.573
3.930, 3.0 | 2.684 | 1.101 | 0.572
3.930, 4.0 | 2.683 | 1.101 | 0.572
3.930, 5.0 | 2.682 | 1.101 | 0.571
3.930, 6.0 | 2.682 | 1.101 | 0.570
3.930, 7.0 | 2.681 | 1.101 | 0.570
3.930, 8.0 | 2.680 | 1.101 | 0.569
3.930, 9.0 | 2.680 | 1.101 | 0.568
3.930, 10.0 | 2.679 | 1.101 | 0.568
3.930, 11.0 | 2.679 | 1.102 | 0.567
3.930, 12.0 | 2.678 | 1.102 | 0.567
3.930, 13.0 | 2.678 | 1.102 | 0.566
3.930, 14.0 | 2.678 | 1.102 | 0.566
3.930, 15.0 | 2.677 | 1.102 | 0.565
3.930, 16.0 | 2.677 | 1.103 | 0.564
3.930, 17.0 | 2.677 | 1.103 | 0.564
3.930, 18.0 | 2.677 | 1.103 | 0.563
3.930, 19.0 | 2.677 | 1.104 | 0.563
3.930, 20.0 | 2.677 | 1.104 | 0.563
3.940, 0.0 | 2.693 | 1.107 | 0.577
3.940, 1.0 | 2.692 | 1.106 | 0.576
3.940, 2.0 | 2.692 | 1.106 | 0.575
3.940, 3.0 | 2.691 | 1.106 | 0.575
3.940, 4.0 | 2.690 | 1.106 | 0.574
3.940, 5.0 | 2.689 | 1.106 | 0.573
3.940, 6.0 | 2.688 | 1.106 | 0.573
3.940, 7.0 | 2.688 | 1.106 | 0.572
3.940, 8.0 | 2.687 | 1.106 | 0.571
3.940, 9.0 | 2.687 | 1.106 | 0.571
3.940, 10.0 | 2.686 | 1.106 | 0.570
3.940, 11.0 | 2.686 | 1.106 | 0.569
3.940, 12.0 | 2.685 | 1.106 | 0.569
3.940, 13.0 | 2.685 | 1.106 | 0.568
3.940, 14.0 | 2.684 | 1.107 | 0.568
3.940, 15.0 | 2.684 | 1.107 | 0.567
3.940, 16.0 | 2.684 | 1.107 | 0.567
3.940, 17.0 | 2.684 | 1.108 | 0.566
3.940, 18.0 | 2.684 | 1.108 | 0.566
3.940, 19.0 | 2.684 | 1.108 | 0.565
3.940, 20.0 | 2.684 | 1.109 | 0.565
3.950, 0.0 | 2.700 | 1.111 | 0.579
3.950, 1.0 | 2.699 | 1.111 | 0.578
3.950, 2.0 | 2.698 | 1.111 | 0.578
3.950, 3.0 | 2.697 | 1.111 | 0.577
3.950, 4.0 | 2.697 | 1.110 | 0.576
3.950, 5.0 | 2.696 | 1.110 | 0.576
3.950, 6.0 | 2.695 | 1.110 | 0.575
3.950, 7.0 | 2.695 | 1.110 | 0.574
3.950, 8.0 | 2.694 | 1.110 | 0.574
3.950, 9.0 | 2.693 | 1.110 | 0.573
3.950, 10.0 | 2.693 | 1.111 | 0.572
3.950, 11.0 | 2.692 | 1.111 | 0.572
3.950, 12.0 | 2.692 | 1.111 | 0.571
3.950, 13.0 | 2.692 | 1.111 | 0.571
3.950, 14.0 | 2.691 | 1.111 | 0.570
3.950, 15.0 | 2.691 | 1.112 | 0.569
3.950, 16.0 | 2.691 | 1.112 | 0.569
3.950, 17.0 | 2.691 | 1.112 | 0.568
3.950, 18.0 | 2.690 | 1.113 | 0.568
3.950, 19.0 | 2.690 | 1.113 | 0.568
3.950, 20.0 | 2.690 | 1.113 | 0.567
3.960, 0.0 | 2.707 | 1.116 | 0.581
3.960, 1.0 | 2.706 | 1.115 | 0.580
3.960, 2.0 | 2.705 | 1.115 | 0.580
3.960, 3.0 | 2.704 | 1.115 | 0.579
3.960, 4.0 | 2.703 | 1.115 | 0.578
3.960, 5.0 | 2.703 | 1.115 | 0.578
3.960, 6.0 | 2.702 | 1.115 | 0.577
3.960, 7.0 | 2.701 | 1.115 | 0.576
3.960, 8.0 | 2.701 | 1.115 | 0.576
3.960, 9.0 | 2.700 | 1.115 | 0.575
3.960, 10.0 | 2.700 | 1.115 | 0.575
3.960, 11.0 | 2.699 | 1.115 | 0.574
3.960, 12.0 | 2.699 | 1.115 | 0.573
3.960, 13.0 | 2.698 | 1.116 | 0.573
3.960, 14.0 | 2.698 | 1.116 | 0.572
3.960, 15.0 | 2.698 | 1.116 | 0.572
3.960, 16.0 | 2.698 | 1.116 | 0.571
3.960, 17.0 | 2.697 | 1.117 | 0.571
3.960, 18.0 | 2.697 | 1.117 | 0.570
3.960, 19.0 | 2.697 | 1.117 | 0.570
3.960, 20.0 | 2.697 | 1.118 | 0.569
3.970, 0.0 | 2.714 | 1.120 | 0.583
3.970, 1.0 | 2.713 | 1.120 | 0.583
3.970, 2.0 | 2.712 | 1.120 | 0.582
3.970, 3.0 | 2.711 | 1.120 | 0.581
3.970, 4.0 | 2.710 | 1.120 | 0.581
3.970, 5.0 | 2.709 | 1.120 | 0.580
3.970, 6.0 | 2.709 | 1.120 | 0.579
3.970, 7.0 | 2.708 | 1.120 | 0.579
3.970, 8.0 | 2.707 | 1.120 | 0.578
3.970, 9.0 | 2.707 | 1.120 | 0.577
3.970, 10.0 | 2.706 | 1.120 | 0.577
3.970, 11.0 | 2.706 | 1.120 | 0.576
3.970, 12.0 | 2.706 | 1.120 | 0.575
3.970, 13.0 | 2.705 | 1.120 | 0.575
3.970, 14.0 | 2.705 | 1.120 | 0.574
3.970, 15.0 | 2.705 | 1.121 | 0.574
3.970, 16.0 | 2.704 | 1.121 | 0.573
3.970, 17.0 | 2.704 | 1.121 | 0.573
3.970, 18.0 | 2.704 | 1.122 | 0.572
3.970, 19.0 | 2.704 | 1.122 | 0.572
3.970, 20.0 | 2.704 | 1.123 | 0.571
