w0 [um], z0 [um] | pump FWHM [um] | probe FWHM [um] | error [um]
3.170, 14.0 | 2.161 | 0.852 | 0.537
3.170, 15.0 | 2.160 | 0.852 | 0.538
3.170, 16.0 | 2.160 | 0.852 | 0.538
3.170, 17.0 | 2.160 | 0.852 | 0.538
3.170, 18.0 | 2.159 | 0.852 | 0.538
3.170, 19.0 | 2.159 | 0.853 | 0.538
3.170, 20.0 | 2.159 | 0.853 | 0.538
3.180, 0.0 | 2.185 | 0.855 | 0.510
3.180, 1.0 | 2.183 | 0.855 | 0.512
3.180, 2.0 | 2.181 | 0.855 | 0.514
3.180, 3.0 | 2.179 | 0.855 | 0.516
3.180, 4.0 | 2.178 | 0.854 | 0.518
3.180, 5.0 | 2.176 | 0.854 | 0.519
3.180, 6.0 | 2.175 | 0.854 | 0.521
3.180, 7.0 | 2.174 | 0.854 | 0.522
3.180, 8.0 | 2.173 | 0.854 | 0.524
3.180, 9.0 | 2.172 | 0.854 | 0.525
3.180, 10.0 | 2.171 | 0.854 | 0.526
3.180, 11.0 | 2.170 | 0.854 | 0.527
3.180, 12.0 | 2.169 | 0.854 | 0.527
3.180, 13.0 | 2.168 | 0.854 | 0.528
3.180, 14.0 | 2.168 | 0.854 | 0.529
3.180, 15.0 | 2.167 | 0.854 | 0.529
3.180, 16.0 | 2.167 | 0.854 | 0.529
3.180, 17.0 | 2.166 | 0.854 | 0.529
3.180, 18.0 | 2.166 | 0.855 | 0.529
3.180, 19.0 | 2.166 | 0.855 | 0.529
3.180, 20.0 | 2.166 | 0.855 | 0.529
3.190, 0.0 | 2.191 | 0.858 | 0.501
3.190, 1.0 | 2.189 | 0.857 | 0.503
3.190, 2.0 | 2.188 | 0.857 | 0.505
3.190, 3.0 | 2.186 | 0.857 | 0.507
3.190, 4.0 | 2.185 | 0.857 | 0.509
3.190, 5.0 | 2.183 | 0.856 | 0.510
3.190, 6.0 | 2.182 | 0.856 | 0.512
3.190, 7.0 | 2.181 | 0.856 | 0.513
3.190, 8.0 | 2.179 | 0.856 | 0.515
3.190, 9.0 | 2.178 | 0.856 | 0.516
3.190, 10.0 | 2.177 | 0.856 | 0.517
3.190, 11.0 | 2.177 | 0.856 | 0.518
3.190, 12.0 | 2.176 | 0.856 | 0.518
3.190, 13.0 | 2.175 | 0.856 | 0.519
3.190, 14.0 | 2.174 | 0.856 | 0.519
3.190, 15.0 | 2.174 | 0.856 | 0.520
3.190, 16.0 | 2.174 | 0.856 | 0.520
3.190, 17.0 | 2.173 | 0.857 | 0.520
3.190, 18.0 | 2.173 | 0.857 | 0.520
3.190, 19.0 | 2.173 | 0.857 | 0.520
3.190, 20.0 | 2.173 | 0.857 | 0.520
